Year,System,Produkt,Rezeptur,Soll,Leistung,Runtime_hours,Setup_min_time_before,Order_rank,Start,Ende,Min,Datum,Tag,FilePath
2021,H3,100G Nugat,A-26,77.983594,3326.488706,0.023443,50.683333333333394,2,22:00,15:54,68,06.12.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 49 Version 1.xlsx
2021,H2,100G Knusperkeks,A-214,30.145014,3109.40499,0.009695,91.21666666666667,2,09:34,19:20,25,06.12.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 49 Version 1.xlsx
2021,H4,Mini Nugat,A-36,20.3,2592.0,0.007832,77.08333333333334,6,22:00,06:19,18.2,15.01.,Fr,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H4 RI RUM/Wochenplan_Hohl 4_ÜZ_KW02_Version 2.xlsx
2021,H4,Mini Marzipan,A-35,26.5,2430.607652,0.010903,67.3,8,07:34,18:55,25.1,15.01.,Fr,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H4 RI RUM/Wochenplan_Hohl 4_ÜZ_KW02_Version 2.xlsx
2021,M3,100G Nuss-Splitter,A-222,55.3,4468.965517,0.012374,0.08333333333333337,1,22:00,09:53,50,17.05.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/M2M3/WP_M2+M3_KW 20 Version 1.xlsx
2021,M3,100G Nuss-Splitter,A-222,36.2,4468.965517,0.0081,0.08333333333333337,1,22:00,05:46,32,12.07.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/M2M3/WP_M2+M3_KW 28 Version 1.xlsx
2021,M3,NK 100G Voll-Nuss,A-700,48.2,2916.291629,0.016528,35.7166666666666,2,06:01,16:23,44,12.07.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/M2M3/WP_M2+M3_KW 28 Version 1.xlsx
2021,M3,100G Nuss-Splitter,A-222,38.2,4468.965517,0.008548,0.08333333333333337,1,22:00,06:12,34,19.07.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/M2M3/WP_M2+M3_KW 29 Version 1.xlsx
2021,M3,NK 100G Voll-Nuss,A-700,50.2,2916.291629,0.017214,35.7166666666666,2,06:27,17:15,40,19.07.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/M2M3/WP_M2+M3_KW 29 Version 1.xlsx
2021,M3,100G Nuss-Splitter,A-222,28.2,4468.965517,0.00631,0.08333333333333337,1,06:00,12:13,24,04.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/M2M3/WP_M2+M3_KW 40 Version 1.xlsx
2021,M3,100G Nuss-Splitter,A-222,28.2,4468.965517,0.00631,0.08333333333333337,1,06:00,12:13,24,04.10.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/M2M3/WP_M2+M3_KW 40 Version 1.xlsx
2022,H2,100G Weisse Mango Maracuja,A-217,36.16,,,,,06:00,16:26,34,02.05.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2022/H2H3/WP_H2+H3_KW 18 Version 1.xlsx
2022,H3,100G Kakao-Mousse,A-294,25.048505,4039.900249,0.0062,26.416666666666657,1,06:00,11:56,22,02.05.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2022/H2H3/WP_H2+H3_KW 18 Version 1.xlsx
2022,H3,100G Nugat,A-26,34.00680000000001,3326.488706,0.010223,50.683333333333394,2,13:26,20:50,24,02.05.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2022/H2H3/WP_H2+H3_KW 18 Version 1.xlsx
2022,H2,KK 100G Ghana 81%,A-938,16.272,3596.00444,0.004525,58.98333333333327,4,08:00,12:33,10,03.01.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2022/H2H3/WP_H2+H3_KW 01 2022 Version 1.xlsx
